run	K	evid
666	2	6649.856332339729
26	2	6649.856332422046
679	2	6649.856332437357
80	2	6649.856332476042
11	2	6649.856332495378
923	2	6649.856332515099
438	2	6649.856332573445
981	2	6649.856332579306
560	2	6649.856332583424
478	2	6649.856332583483
479	2	6649.856332673264
472	2	6649.856332679606
586	2	6649.856332680544
727	2	6649.856332745541
806	2	6649.8563327668035
270	2	6649.8563327743595
986	2	6649.856332776261
947	2	6649.856332796178
29	2	6649.856332850071
669	2	6649.856332875164
774	2	6649.856332899581
59	2	6649.856332921923
184	2	6649.856332952682
623	2	6649.856332952943
380	2	6649.856332965055
345	2	6649.856332979851
591	2	6649.856333013064
88	2	6649.85633304037
828	2	6649.856333061971
166	2	6649.8563331315045
636	2	6649.856333139614
264	2	6649.85633316348
629	2	6649.856333166435
251	2	6649.856333201967
595	2	6649.856333212505
442	2	6649.856333273468
306	2	6649.8563332884005
521	2	6649.856333303525
535	2	6649.856333312257
81	2	6649.856333315104
920	2	6649.8563334731225
332	2	6649.856333478509
214	2	6649.856333524392
330	2	6649.856333529173
405	2	6649.856333615456
441	2	6649.856333650279
171	2	6649.856333745899
35	2	6649.856333755242
685	2	6649.8563337742
319	2	6649.856333846035
522	2	6649.856333905911
693	2	6649.856333934412
734	2	6649.856334115433
326	2	6649.8563342930975
994	2	6649.856334378239
291	2	6649.856334413661
434	2	6649.856334441218
581	2	6649.856334446908
483	2	6649.85633446394
525	2	6649.856334476509
751	2	6649.856334582402
123	2	6649.8563345938555
356	2	6649.856334601669
155	2	6649.856334634482
979	2	6649.856334640563
905	2	6649.856334651258
474	2	6649.856334706281
705	2	6649.85633471852
853	2	6649.8563347206655
403	2	6649.856334738382
33	2	6649.856334748487
498	2	6649.856334776577
72	2	6649.856334987851
587	2	6649.856334992582
494	2	6649.8563350684435
579	2	6649.856335076646
559	2	6649.856335085473
444	2	6649.8563351096545
94	2	6649.856335114414
718	2	6649.856335167425
897	2	6649.856335177844
229	2	6649.856335215777
608	2	6649.856335234356
47	2	6649.856335302972
198	2	6649.8563353220325
896	2	6649.856335434255
501	2	6649.856335478902
730	2	6649.856335511175
637	2	6649.856335519664
294	2	6649.856335551462
210	2	6649.856335573846
904	2	6649.856335581124
347	2	6649.856335591969
64	2	6649.856335667659
782	2	6649.856335689906
325	2	6649.856335714059
838	2	6649.856335814478
487	2	6649.856335859626
907	2	6649.856335878609
141	2	6649.856335906528
315	2	6649.856335944352
234	2	6649.8563359828095
787	2	6649.856336119554
554	2	6649.85633614483
343	2	6649.856336174535
985	2	6649.85633618296
492	2	6649.856336203289
241	2	6649.856336204631
260	2	6649.856336303201
268	2	6649.8563363082185
613	2	6649.856336336374
825	2	6649.856336412615
177	2	6649.856336424655
465	2	6649.856336446979
684	2	6649.856336466708
738	2	6649.856336587084
2	2	6649.856336598861
710	2	6649.856336664636
55	2	6649.856336721093
845	2	6649.85633680938
467	2	6649.856336829422
426	2	6649.856337147851
537	2	6649.856337177527
15	2	6649.856337198285
816	2	6649.856337263008
91	2	6649.856337263315
935	2	6649.856337276529
628	2	6649.856337330624
437	2	6649.856337337003
220	2	6649.856337367635
953	2	6649.856337368921
511	2	6649.856337382918
930	2	6649.856337433977
846	2	6649.856337444703
193	2	6649.856337453954
673	2	6649.8563374617715
496	2	6649.856337495615
190	2	6649.856337500843
384	2	6649.8563375701815
780	2	6649.856337574162
536	2	6649.856337635696
961	2	6649.856337728349
775	2	6649.856337738544
698	2	6649.856337742515
694	2	6649.856337795911
430	2	6649.8563378080835
32	2	6649.856337811658
690	2	6649.856337834569
757	2	6649.856337886399
556	2	6649.856337890115
385	2	6649.856337948657
489	2	6649.856337960569
988	2	6649.85633798558
771	2	6649.856337994237
821	2	6649.856338023923
917	2	6649.856338029602
508	2	6649.856338072399
4	2	6649.856338089422
964	2	6649.856338119054
873	2	6649.8563381902495
788	2	6649.85633821772
373	2	6649.856338248785
320	2	6649.856338310985
311	2	6649.8563383166
810	2	6649.856338328939
290	2	6649.856338353756
765	2	6649.856338372548
766	2	6649.856338392939
800	2	6649.856338401807
610	2	6649.856338420663
395	2	6649.856338444745
663	2	6649.85633844484
70	2	6649.856338509725
801	2	6649.856338530959
194	2	6649.856338572415
589	2	6649.856338586964
66	2	6649.856338594182
101	2	6649.856338601057
379	2	6649.856338647116
925	2	6649.856338656447
312	2	6649.856338669274
175	2	6649.8563386808455
931	2	6649.856338706105
737	2	6649.856338715478
253	2	6649.856338755827
366	2	6649.85633876271
278	2	6649.85633876867
87	2	6649.856338850551
286	2	6649.856338921878
890	2	6649.856338945522
43	2	6649.85633898457
653	2	6649.856339013011
120	2	6649.856339030317
625	2	6649.856339106974
1000	2	6649.85633918469
655	2	6649.856339194914
275	2	6649.856339198241
588	2	6649.856339228699
844	2	6649.856339291485
612	2	6649.856339304548
200	2	6649.856339520552
428	2	6649.856339564058
616	2	6649.85633974998
856	2	6649.8563398922415
111	2	6649.85633992495
424	2	6649.856339953278
564	2	6649.856340002435
553	2	6649.8563402281225
769	2	6649.856340508424
6	2	6649.856340802013
972	2	6649.856340809127
98	2	6649.856340813687
283	2	6649.856340819414
982	2	6649.856341137801
724	2	6649.856341242399
38	2	6649.8563414240425
534	2	6649.856341443273
272	2	6649.856341555285
843	2	6649.856341712675
602	2	6649.856341732515
279	2	6649.856342194324
919	2	6649.856342224613
847	2	6649.856342322773
459	2	6649.856343047008
104	2	6649.856343312879
580	2	6649.856343631445
50	2	6649.856344216496
691	2	6649.856344561002
431	2	6649.856345116291
407	2	6649.856345217766
282	2	6649.856345270757
566	2	6649.856345280054
148	2	6649.856345374531
122	2	6649.856345728795
1	2	6649.856348017973
41	2	6649.856348129459
567	2	6649.856348347578
